Attribute Name,AVP Code,Section defined,Value Type,MUST,MAY,SHOULD NOT,MUST NOT
MBMS-Service-Area,903,17.7.6,OctetString,"M,V",P,,
MBMS-Session-Duration,904,17.7.7,OctetString,"M,V",P,,
Alternative-APN,905,17.7.8,UTF8String,"M,V",P,,
MBMS-Service-Type,906,17.7.9,Enumerated,"M,V",P,,
MBMS-2G-3G-Indicator,907,17.7.10,Enumerated,"M, V",P,,
MBMS-Session-Identity,908,17.7.11,OctetString,"M,V",P,,
RAI,909,17.7.12,UTF8String,"M, V",P,,
Additional-MBMS-Trace-Info,910,17.7.13,OctetString,"M,V",P,,
MBMS-Time-To-Data-Transfer,911,17.7.14,OctetString,"M,V",P,,
MBMS-Session-Repetition-Number,912,17.7.15,OctetString,"M,V",P,,
MBMS-Required-QoS,913,17.7.16,UTF8String,"M,V",P,,
MBMS-Counting-Information,914,17.7.17,Enumerated,"M,V",P,,
MBMS-User-Data-Mode-Indication,915,17.7.18,Enumerated,"M,V",P,,
MBMS-GGSN-Address,916,17.7.19,OctetString,"M,V",P,,
# Note: 3GPP TS 29.061 V12.6.0 (2014-06) renamed,,,,,,,
# MBMS-GGSN-IPv6-Address (917) to MBMS-GGSN-Ipv6-Address.,,,,,,,
# ,,,,,,,
# Change-1.4.0: MBMS-GGSN-IPv6-Address (917) renamed to MBMS-GGSN-Ipv6-Address (917).,,,,,,,
MBMS-GGSN-Ipv6-Address,917,17.7.20,OctetString,"M,V",P,,
MBMS-BMSC-SSM-IP-Address,918,17.7.21,OctetString,"M,V",P,,
# Note: 3GPP TS 29.061 V12.6.0 (2014-06) renamed,,,,,,,
# MBMS-BMSC-SSM-IPv6-Address (919) to MBMS-BMSC-SSM-Ipv6-Address.,,,,,,,
# ,,,,,,,
# Change-1.4.0: MBMS-BMSC-SSM-IPv6-Address (919) renamed to MBMS-BMSC-SSM-Ipv6-Address (919).,,,,,,,
MBMS-BMSC-SSM-Ipv6-Address,919,17.7.22,OctetString,"M,V",P,,
MBMS-Flow-Identifier,920,17.7.23,OctetString,"M,V",P,,
CN-IP-Multicast-Distribution,921,17.7.24,Enumerated,"M,V",P,,
MBMS-HC-Indicator,922,17.7.25,Enumerated,"M,V",P,,
#=,,,,,,,
# 3GPP TS 29.061 Table 20.5a.1: SGmb specific AVPs,,,,,,,
#=,,,,,,,
#,,,,,,,
MBMS-Access-Indicator,923,20.5a.1,Enumerated,"M,V",P,,
# Note: Name conflict with 3GPP TS 29.061 MBMS-GW-SSM-IP-Address (3522).,,,,,,,
# 3GPP TS 29.061 V10.4.0 (2011-09) CR 0355 added MBMS-GW-SSM-IP-Address (924).,,,,,,,
# 3GPP TS 29.468 V14.0.0 (2016-12) CR 0021 added MBMS-GW-SSM-IP-Address (3522).,,,,,,,
MBMS-GW-SSM-IP-Address,924,20.5a.2,OctetString,V,P,,M
# Note: 3GPP TS 29.061 V12.6.0 (2014-06) renamed,,,,,,,
# MBMS-GW-SSM-IPv6-Address (925) to MBMS-GW-SSM-Ipv6-Address.,,,,,,,
# Note: Name conflict with 3GPP TS 29.061 MBMS-GW-SSM-IPv6-Address (3523).,,,,,,,
# 3GPP TS 29.061 V10.4.0 (2011-09) CR 0355 added MBMS-GW-SSM-IPv6-Address (925).,,,,,,,
# 3GPP TS 29.061 V12.6.0 (2014-06) renamed,,,,,,,
# MBMS-GW-SSM-IPv6-Address (925) to MBMS-GW-SSM-Ipv6-Address.,,,,,,,
# 3GPP TS 29.468 V14.0.0 (2016-12) CR 0021 added MBMS-GW-SSM-IPv6-Address (3523).,,,,,,,
MBMS-GW-SSM-IPv6-Address,925,20.5a.3,OctetString,V,P,,M
MBMS-BMSC-SSM-UDP-Port,926,20.5a.4,OctetString,V,P,,M
MBMS-GW-UDP-Port,927,20.5a.5,OctetString,V,P,,M
MBMS-GW-UDP-Port-Indicator,928,20.5a.6,Enumerated,V,P,,M
MBMS-Data-Transfer-Start,929,20.5a.7,Unsigned64,V,P,,M
MBMS-Data-Transfer-Stop,930,20.5a.8,Unsigned64,V,P,,M
# Note: 3GPP TS 29.061 Table 20.5a.1 row MBMS-Flag (931) has,,,,,,,
"# incorrect name and should be ""MBMS-Flags"" per clause 20.5a.9.",,,,,,,
# ,,,,,,,
# Fix: MBMS-Flag (931) renamed to MBMS-Flags (931).,,,,,,,
MBMS-Flags,931,20.5a.9,Unsigned32,V,P,,M
Restart-Counter,932,20.5a.10,Unsigned32,V,P,,M
Diagnostic-Info,933,20.5a.11,Unsigned32,V,P,,M
MBMS-Cell-List,934,20.5a.12,OctetString,V,P,,M
,,,,,,,
@standard,3GPP TS 29.109,,,,,,
#=,,,,,,,
# 3GPP TS 29.109 V15.0.0 (2017-06),,,,,,,
# Generic Authentication Architecture (GAA);,,,,,,,
# Zh and Zn Interfaces based on the Diameter protocol;,,,,,,,
# Stage 3,,,,,,,
# ,,,,,,,
# From 3GPP 29109-f00.doc,,,,,,,
#=,,,,,,,
#,,,,,,,
#=,,,,,,,
# 3GPP TS 29.109 Table 6.1: New Diameter Multimedia Application AVPs,,,,,,,
#=,,,,,,,
#,,,,,,,
GBA-UserSecSettings,400,6.3.1.1,OctetString,"M, V",,,
Transaction-Identifier,401,6.3.1.2,OctetString,"M, V",,,
NAF-Id,402,6.3.1.3,OctetString,"M, V",,,
GAA-Service-Identifier,403,6.3.1.4,OctetString,"M, V",,,
Key-ExpiryTime,404,6.3.1.5,Time,"M, V",,,
ME-Key-Material,405,6.3.1.6,OctetString,"M, V",,,
UICC-Key-Material,406,6.3.1.7,OctetString,"M, V",,,
# Note: 3GPP TS 29.109 Table 6.1 row GBA_U-Awareness-Indicator (407),,,,,,,
# has an underscore in the name (contrary to RFC 6733 section 4.1).,,,,,,,
# ,,,,,,,
# Fix: GBA_U-Awareness-Indicator (407) renamed to GBA-U-Awareness-Indicator (407).,,,,,,,
GBA-U-Awareness-Indicator,407,6.3.1.8,Enumerated,"M, V",,,
BootstrapInfoCreationTime,408,6.3.1.9,Time,"M, V",,,
GUSS-Timestamp,409,6.3.1.10,Time,V,,,M
GBA-Type,410,6.3.1.11,Enumerated,"M, V",,,
UE-Id,411,6.3.1.12,OctetString,"M, V",,,
UE-Id-Type,412,6.3.1.13,Enumerated,"M, V",,,
UICC-App-Label,413,6.3.1.14,OctetString,"M, V",,,
UICC-ME,414,6.3.1.15,Enumerated,"M, V",,,
Requested-Key-Lifetime,415,6.3.1.16,Time,"M, V",,,
Private-Identity-Request,416,6.3.1.17,Enumerated,"M, V",,,
GBA-Push-Info,417,6.3.1.18,OctetString,"M, V",,,
NAF-SA-Identifier,418,6.3.1.19,OctetString,"M, V",,,
Security-Feature-Request,419,6.3.1.20,OctetString,"M,V",,,
Security-Feature-Response,420,6.3.1.21,OctetString,"M,V",,,
,,,,,,,
@standard,3GPP TS 29.128,,,,,,
#=,,,,,,,
# 3GPP TS 29.128 V15.6.0 (2019-09),,,,,,,
# Mobility Management Entity (MME) and Serving GPRS Support,,,,,,,
# Node (SGSN) interfaces for interworking with packet data,,,,,,,
# networks and applications,,,,,,,
# ,,,,,,,
# From 3GPP 29128-f60.docx,,,,,,,
#=,,,,,,,
#,,,,,,,
#=,,,,,,,
# 3GPP TS 29.128 Table 6.4.1-1: T6a/T6b specific Diameter AVPs,,,,,,,
#=,,,,,,,
#,,,,,,,
Communication-Failure-Information,4300,6.4.4,Grouped,"M,V",,,
Cause-Type,4301,6.4.5,Unsigned32,"M,V",,,
S1AP-Cause,4302,6.4.6,Unsigned32,"M,V",,,
RANAP-Cause,4303,6.4.7,Unsigned32,"M,V",,,
BSSGP-Cause,4309,6.4.8,Unsigned32,"M,V",,,
GMM-Cause,4304,6.4.9,Unsigned32,"M,V",,,
SM-Cause,4305,6.4.10,Unsigned32,"M,V",,,
Number-Of-UE-Per-Location-Configuration,4306,6.4.11,Grouped,"M,V",,,
Number-Of-UE-Per-Location-Report,4307,6.4.12,Grouped,"M,V",,,
UE-Count,4308,6.4.13,Unsigned32,"M,V",,,
Connection-Action,4314,6.4.18,Unsigned32,"M,V",,,
Non-IP-Data,4315,6.4.19,OctetString,"M,V",,,
Serving-PLMN-Rate-Control,4310,6.4.21,Grouped,"M,V",,,
Uplink-Rate-Limit,4311,6.4.23,Unsigned32,"M,V",,,
Downlink-Rate-Limit,4312,6.4.22,Unsigned32,"M,V",,,
Extended-PCO,4313,6.4.26,OctetString,"M,V",,,
SCEF-Wait-Time,4316,6.4.24,Time,"M,V",,,
CMR-Flags,4317,6.4.25,Unsigned32,"M,V",,,
RRC-Cause-Counter,4318,6.4.27,Grouped,"M,V",,,
Counter-Value,4319,6.4.28,Unsigned32,"M,V",,,
RRC-Counter-Timestamp,4320,6.4.29,Time,"M,V",,,
TDA-Flags,4321,6.4.31,Unsigned32,V,,,M
Idle-Status-Indication,4322,6.4.32,Grouped,V,,,M
Idle-Status-Timestamp,4323,6.4.33,Time,V,,,M
Active-Time,4324,6.4.34,Unsigned32,V,,,M
,,,,,,,
@standard,3GPP TS 29.140,,,,,,
#=,,,,,,,
# 3GPP TS 29.140 V7.0.0 (2007-06),,,,,,,
# MM10 interface based on Diameter protocol;,,,,,,,
# Stage 3,,,,,,,
# ,,,,,,,
# From 3GPP 29140-700.doc,,,,,,,
#=,,,,,,,
#,,,,,,,
#=,,,,,,,
# 3GPP TS 29.140 Table 6.3.1: Diameter MM10 Application AVPs,,,,,,,
# ,,,,,,,
# Note: AVPs referenced from other sources are not added here.,,,,,,,
#=,,,,,,,
#,,,,,,,
Served-User-Identity,1100,6.3.1,Grouped,"M,V",,,
VASP-ID,1101,6.3.3,UTF8String,"M,V",,,
VAS-ID,1102,6.3.4,UTF8String,"M,V",,,
Trigger-Event,1103,6.3.5,Enumerated,"M,V",,,
Sender-Address,1104,6.3.7,UTF8String,"M,V",,,
Initial-Recipient-Address,1105,6.3.8,Grouped,"M,V",,,
Result-Recipient-Address,1106,6.3.9,Grouped,"M,V",,,
# Note: Name conflict with 3GPP TS 29.329 Sequence-Number (716),,,,,,,
# and 3GPP TS 29.283 Sequence-Number (4512).,,,,,,,
# 3GPP TS 29.140 V6.1.0 (2005-06) allocated Sequence-Number (1107).,,,,,,,
# 3GPP TS 29.329 V10.0.0 (2010-09) CR 0163 added Sequence-Number (716).,,,,,,,
# 3GPP TS 29.283 V13.1.0 (2016-06) allocated Sequence-Number (4512).,,,,,,,
# ,,,,,,,
# Fix: Sequence-Number (1107) renamed to Sequence-Number-29.140 (1107).,,,,,,,
Sequence-Number-29.140,1107,6.3.10,Unsigned32,"M,V",,,
# Note: Name conflict with 3GPP TS 32.299 Recipient-Address (1201);,,,,,,,
# 3GPP TS 29.140 V6.1.0 (2005-06) allocated Recipient-Address (1108).,,,,,,,
# 3GPP TS 32.299 V6.4.0 (2005-09) CR 0028 added Recipient-Address (1201).,,,,,,,
# ,,,,,,,
# Fix: Recipient-Address (1108) renamed to Recipient-Address-29.140 (1108).,,,,,,,
Recipient-Address-29.140,1108,6.3.11,UTF8String,"M,V",,,
Routeing-Address,1109,6.3.12,UTF8String,"M,V",,,
Originating-Interface,1110,6.3.13,Enumerated,"M,V",,,
Delivery-Report,1111,6.3.14,Enumerated,"M,V",,,
Read-Reply,1112,6.3.15,Enumerated,"M,V",,,
Sender-Visibility,1113,6.3.16,Enumerated,"M,V",,,
Service-Key,1114,6.3.17,UTF8String,"M,V",,,
Billing-Information,1115,6.3.18,UTF8String,"M,V",,,
# Note: Name conflict with 3GPP TS 32.299 V11.6.0 Status (2702).,,,,,,,
# 3GPP TS 32.299 V11.10.0 (2013-12) CR 0566 renamed,,,,,,,
# Status (2702) to Status-Code (2702).,,,,,,,
# 3GPP TS 32.299 V11.14.0 (2014-12) CR 0617 renamed,,,,,,,
# Status-Code (2702) to Status-AS-Code (2702).,,,,,,,
# ,,,,,,,
# TODO: rename back to Status ?,,,,,,,
# Fix: Status (1116) renamed to Status-29.140 (1116).,,,,,,,
Status-29.140,1116,6.3.19,Grouped,"M,V",,,
Status-Code,1117,6.3.20,UTF8String,"M,V",,,
Status-Text,1118,6.3.21,UTF8String,"M,V",,,
Routeing-Address-Resolution,1119,6.3.22,Enumerated,"M,V",,,
,,,,,,,
@standard,3GPP TS 29.153,,,,,,
#=,,,,,,,
# 3GPP TS 29.153 V15.1.0 (2019-09),,,,,,,
# Service capability exposure functionality over Ns,,,,,,,
# reference point,,,,,,,
# ,,,,,,,
# From 3GPP 29153-f10.doc,,,,,,,
#=,,,,,,,
#,,,,,,,
#=,,,,,,,
# 3GPP TS 29.153 Table 5.3.1.1: Ns specific Diameter AVPs ,,,,,,,
#=,,,,,,,
#,,,,,,,
Network-Congestion-Area-Report,4101,5.3.2,Grouped,"M,V",P,,
Ns-Request-Type,4102,5.3.3,Unsigned32,"M,V",P,,
,,,,,,,
@standard,3GPP TS 29.154,,,,,,
#=,,,,,,,
# 3GPP TS 29.154 V15.3.0 (2019-09),,,,,,,
# Service capability exposure functionality over,,,,,,,
# Nt reference point,,,,,,,
# ,,,,,,,
# From 3GPP 29154-f30.doc,,,,,,,
#=,,,,,,,
#,,,,,,,
#=,,,,,,,
# 3GPP TS 29.154 Table 5.3.1.1: Nt specific Diameter AVPs,,,,,,,
#=,,,,,,,
#,,,,,,,
Network-Area-Info-List,4201,5.3.2,OctetString,"M,V",P,,
Number-Of-UEs,4209,5.3.10,Unsigned32,"M,V",P,,
Reference-Id,4202,5.3.3,OctetString,"M,V",P,,
Transfer-Request-Type,4203,5.3.4,Unsigned32,"M,V",P,,
# Note: Name conflict with 3GPP TS 29.345 Time-Window (3818).,,,,,,,
# Time-Window (3818) in 3GPP TS 29.345 V12.1.0 (2014-12) predates,,,,,,,
# Time-Window (4204) in 3GPP TS 29.154 V13.1.0 (2016-03).,,,,,,,
# ,,,,,,,
# Fix: Time-Window (4204) renamed to Time-Window-29.154 (4204).,,,,,,,
Time-Window-29.154,4204,5.3.5,Grouped,"M,V",P,,
Transfer-End-Time,4205,5.3.6,Time,"M,V",P,,
Transfer-Policy,4207,5.3.8,Grouped,"M,V",P,,
Transfer-Policy-Id,4208,5.3.9,Unsigned32,"M,V",P,,
Transfer-Start-Time,4206,5.3.7,Time,"M,V",P,,
#=,,,,,,,
# 3GPP TS 29.154 Table A.6.3.1-1: Nta specific Diameter AVPs,,,,,,,
#=,,,,,,,
#,,,,,,,
Access-Network-Reports,4210,A.6.3.2,Grouped,"M,V",P,,
Event-Configuration,4211,A.6.3.3,Grouped,"M,V",P,,
Event-Configuration-State,4212,A.6.3.4,Unsigned32,"M,V",P,,
Event-Configuration-Status,4213,A.6.3.5,Grouped,"M,V",P,,
Event-Reporting-Results,4214,A.6.3.6,Unsigned32,"M,V",P,,
Event-Reports,4215,A.6.3.7,Grouped,"M,V",P,,
Extended-SCEF-Reference-ID,4216,A.6.3.8,Unsigned64,"M,V",P,,
,,,,,,,
@standard,3GPP TS 29.172,,,,,,
#=,,,,,,,
# 3GPP TS 29.172 V15.2.0 (2019-12),,,,,,,
# Location Services (LCS);,,,,,,,
# Evolved Packet Core (EPC) LCS Protocol (ELP) between the,,,,,,,
# Gateway Mobile Location Centre (GMLC) and the,,,,,,,
# Mobile Management Entity (MME);,,,,,,,
# SLg interface,,,,,,,
# ,,,,,,,
# From 3GPP 29172-f20.docx,,,,,,,
#=,,,,,,,
#,,,,,,,
#=,,,,,,,
# 3GPP TS 29.172 Table 7.4.1-1: Diameter ELP Application AVPs,,,,,,,
#=,,,,,,,
#,,,,,,,
SLg-Location-Type,2500,7.4.2,Enumerated,"M, V",,,
LCS-EPS-Client-Name,2501,7.4.3,Grouped,"M, V",,,
LCS-Requestor-Name,2502,7.4.4,Grouped,"M, V",,,
LCS-Priority,2503,7.4.5,Unsigned32,"M, V",,,
LCS-QoS,2504,7.4.6,Grouped,"M, V",,,
Horizontal-Accuracy,2505,7.4.7,Unsigned32,"M, V",,,
Vertical-Accuracy,2506,7.4.8,Unsigned32,"M, V",,,
Vertical-Requested,2507,7.4.9,Enumerated,"M, V",,,
Velocity-Requested,2508,7.4.10,Enumerated,"M, V",,,
Response-Time,2509,7.4.11,Enumerated,"M, V",,,
Supported-GAD-Shapes,2510,7.4.12,Unsigned32,"M, V",,,
LCS-Codeword,2511,7.4.13,UTF8String,"M, V",,,
LCS-Privacy-Check,2512,7.4.14,Enumerated,"M, V",,,
Accuracy-Fulfilment-Indicator,2513,7.4.15,Enumerated,"M, V",,,
Age-Of-Location-Estimate,2514,7.4.16,Unsigned32,"M, V",,,
Velocity-Estimate,2515,7.4.17,OctetString,"M, V",,,
EUTRAN-Positioning-Data,2516,7.4.18,OctetString,"M, V",,,
ECGI,2517,7.4.19,OctetString,"M, V",,,
Location-Event,2518,7.4.20,Enumerated,"M, V",,,
Pseudonym-Indicator,2519,7.4.21,Enumerated,"M, V",,,
LCS-Service-Type-ID,2520,7.4.22,Unsigned32,"M, V",,,
LCS-Privacy-Check-Non-Session,2521,7.4.23,Grouped,"M, V",,,
LCS-Privacy-Check-Session,2522,7.4.24,Grouped,"M, V",,,
LCS-QoS-Class,2523,7.4.27,Enumerated,"M, V",,,
GERAN-Positioning-Info,2524,7.4.29,Grouped,V,,,M
GERAN-Positioning-Data,2525,7.4.30,OctetString,V,,,M
GERAN-GANSS-Positioning-Data,2526,7.4.31,OctetString,V,,,M
UTRAN-Positioning-Info,2527,7.4.32,Grouped,V,,,M
UTRAN-Positioning-Data,2528,7.4.33,OctetString,V,,,M
UTRAN-GANSS-Positioning-Data,2529,7.4.34,OctetString,V,,,M
LRR-Flags,2530,7.4.35,Unsigned32,V,,,M
LCS-Reference-Number,2531,7.4.37,OctetString,V,,,M
Deferred-Location-Type,2532,7.4.36,Unsigned32,V,,,M
Area-Event-Info,2533,7.4.38,Grouped,V,,,M
Area-Definition,2534,7.4.39,Grouped,V,,,M
Area,2535,7.4.40,Grouped,V,,,M
Area-Type,2536,7.4.41,Unsigned32,V,,,M
Area-Identification,2537,7.4.42,Grouped,V,,,M
Occurrence-Info,2538,7.4.43,Enumerated,V,,,M
Interval-Time,2539,7.4.44,Unsigned32,V,,,M
Periodic-LDR-Information,2540,7.4.45,Grouped,V,,,M
Reporting-Amount,2541,7.4.46,Unsigned32,V,,,M
Reporting-Interval,2542,7.4.47,Unsigned32,V,,,M
Reporting-PLMN-List,2543,7.4.48,Grouped,V,,,M
PLMN-ID-List,2544,7.4.49,Grouped,V,,,M
PLR-Flags,2545,7.4.52,Unsigned32,V,,,M
PLA-Flags,2546,7.4.53,Unsigned32,V,,,M
Deferred-MT-LR-Data,2547,7.4.54,Grouped,V,,,M
Termination-Cause,2548,7.4.55,Unsigned32,V,,,M
LRA-Flags,2549,7.4.56,Unsigned32,V,,,M
Periodic-Location-Support-Indicator,2550,7.4.50,Enumerated,V,,,M
Prioritized-List-Indicator,2551,7.4.51,Enumerated,V,,,M
ESMLC-Cell-Info,2552,7.4.57,Grouped,V,,,M
Cell-Portion-ID,2553,7.4.58,Unsigned32,V,,,M
1xRTT-RCID,2554,7.4.59,OctetString,V,,,M
Delayed-Location-Reporting-Data,2555,7.4.60,Grouped,V,,,M
Civic-Address,2556,7.4.61,UTF8String,V,,,M
Barometric-Pressure,2557,7.4.62,Unsigned32,V,,,M
UTRAN-Additional-Positioning-Data,2558,7.4.63,OctetString,V,,,M
Motion-Event-Info,2559,7.4.64,Grouped,V,,,M
Linear-Distance,2560,7.4.65,Unsigned32,V,,,M
Maximum-Interval,2561,7.4.66,Unsigned32,V,,,M
Sampling-Interval,2562,7.4.67,Unsigned32,V,,,M
Reporting-Duration,2563,7.4.68,Unsigned32,V,,,M
Reporting-Location-Requirements,2564,7.4.69,Unsigned32,V,,,M
Additional-Area,2565,7.4.70,Grouped,V,,,M
,,,,,,,
@standard,3GPP TS 29.173,,,,,,
#=,,,,,,,
# 3GPP TS 29.173 V15.0.0 (2018-06),,,,,,,
# Location Services (LCS);,,,,,,,
# Diameter-based SLh interface for Control Plane LCS,,,,,,,
# ,,,,,,,
# From 3GPP 29173-f00.doc,,,,,,,
#=,,,,,,,
#,,,,,,,
#=,,,,,,,
# 3GPP TS 29.173 Table 6.4.1/1: SLh specific Diameter AVPs,,,,,,,
#=,,,,,,,
#,,,,,,,
LMSI,2400,6.4.2,OctetString,"M,V",,,
Serving-Node,2401,6.4.3,Grouped,"M,V",,,
MME-Name,2402,6.4.4,DiameterIdentity,"M,V",,,
MSC-Number,2403,6.4.5,OctetString,"M,V",,,
LCS-Capabilities-Sets,2404,6.4.6,Unsigned32,"M,V",,,
GMLC-Address,2405,6.4.7,Address,"M,V",,,
Additional-Serving-Node,2406,6.4.8,Grouped,"M,V",,,
PPR-Address,2407,6.4.9,Address,"M,V",,,
MME-Realm,2408,6.4.12,DiameterIdentity,V,,,M
SGSN-Name,2409,6.4.13,DiameterIdentity,V,,,M
